"entity_name","ls","p"
"IRWIN ALTMAN MIDDLE SCHOOL 172",0.262645759138654,0.00357179341243086
"IS 141 STEINWAY (THE)",0.262851359631477,0.004312420647082
"FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL",0.262898672844449,0.00313033579965851
"JHS 157 STEPHEN A HALSEY",0.273386089262484,0.00603811858791938
"PS 2 ALFRED ZIMBERG",0.274111462422504,0.0020650000729682
"PS 133",0.274441197110043,0.00195189936225793
"PS 60 WOODHAVEN",0.276523380137671,0.00384907257417218
"MASPETH HIGH SCHOOL",0.277720941683136,0.00442552135779227
"PS 70",0.279689418306313,0.00279833048757352
"PS 152 GWENDOLYN N ALLEYNE SCHOOL",0.280001562919809,0.00345139588167477
"VOYAGES PREPARATORY",0.280148432680867,0.000773462924857347
"PS 97 FOREST PARK",0.284187307782036,0.00244443471535105
"ELM COMMUNITY CHARTER SCHOOL",0.287216866519769,0.000375786232359938
"SCHOLARS' ACADEMY",0.290285463114778,0.00492170512090831
"WORLD JOURNALISM PREPARATORY:  A COLLEGE BOARD SCHOOL",0.292174788387168,0.00214526509347226
"PS 273",0.292378387297995,0.00101060957634663
"ACADEMY FOR EXCELLENCE THROUGH THE ARTS (THE)",0.292509703619646,0.000631174933963779
"PS 102 BAYVIEW",0.297165516983018,0.00456051252864002
"PS 213 CARL ULLMAN SCHOOL (THE)",0.297216545082337,0.00141558308888986
"PS 222-FIRE FIGHTER CHRISTOPHER A SANTORA SCHOOL",0.298342815097369,0.000879266815521796
"MARTIN VAN BUREN HIGH SCHOOL",0.299149274159929,0.00426499131678415
"ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL",0.300163392171191,0.00226566262422836
"PS 127 AEROSPACE SCIENCE MAGNET",0.300234554705326,0.00446565386804431
"QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL",0.301252688578751,0.00259037111626753
"PS 64 JOSEPH P ADDABBO",0.302240325761603,0.00201757074267034
"HIGH SCHOOL FOR ARTS AND BUSINESS",0.302898795633399,0.00283116617777972
"PS 254-OSA PARKS SCHOOL (THE)",0.303672445670759,0.00206135166294529
"IS 119 GLENDALE (THE)",0.307162034926445,0.00462983231907535
"QUEENS COLLEGIATE - A COLLEGE BOARD SCHOOL",0.312033096332893,0.00242619266523649
"PS 214 CADWALLADER COLDEN",0.312855706322527,0.00149949651941684
"CIVIC LEADERSHIP ACADEMY",0.313910786730086,0.002156210323541
"PS 94 DAVID D PORTER",0.315279223001609,0.00113465551712564
"EMERSON SCHOOL (THE)",0.315350296648047,0.00128788873808794
"COLLEGE POINT COLLABORATIVE",0.315684027883155,0.00056185514352845
"PS 41 CROCHERON",0.317690806977073,0.00168921384060826
"JHS 226 VIRGIL I GRISSON",0.320430842722371,0.00343680224158312
"PS 139 REGO PARK",0.321609386760286,0.00268158136684033
"PS 12 JAMES B COLGATE",0.322643473611871,0.00423580403660085
"PS 96",0.324675725136624,0.00101060957634663
"PS 46 ALLEY POND",0.325361257811432,0.00191541526202881
"HAWTREE CREEK MIDDLE SCHOOL",0.325639944751729,0.00137545057863783
"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH AND TECHNOLOGY",0.327103078900934,0.00171475271076865
"MS 158 MARIE CURIE",0.32732149310582,0.00393298600469915
"PS/IS 78",0.327755343068323,0.00255753542606132
"JHS 8 RICHARD S GROSSLEY",0.329298626282676,0.00140828626884404
"YOUNG WOMEN'S LEADERSHIP SCHOOL OF QUEENS",0.332803835139925,0.0020029771025787
"ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY",0.339977219334044,0.00113465551712564
"QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY",0.342998735546796,0.000693197904353283
"PS 21 EDWARD HART",0.343645132955127,0.00459334821884623
"TOWNSEND HARRIS HIGH SCHOOL",0.346400667349976,0.00431606905710491
"JHS 189 DANIEL CARTER BEARD",0.347412668599938,0.0028238693577339
"IS 93 RIDGEWOOD",0.348518692388568,0.00410810968579893
"EAST-WEST SCHOOL OF INTERNATIONAL STUDIES",0.348870330517958,0.00237511492491572
"PS 384",0.350345449412838,0.000127694350801921
"JHS 216 GEORGE J RYAN",0.350480829133536,0.00552004436466588
"GROWING UP GREEN CHARTER SCHOOL II",0.3553648164111,0.00130977919822541
"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND SCIENCES",0.355452356412422,0.00392568918465333
"PS 79 FRANCIS LEWIS",0.35576841513453,0.0038271821140347
"PS 22 THOMAS JEFFERSON",0.357571162691429,0.0032178976402084
"JHS 67 LOUIS PASTEUR",0.360691091096744,0.00346963793178933
"PS 7 LOUIS F SIMEONE",0.361127586121366,0.00486697897056463
"LEARNERS AND LEADERS",0.363113646667614,0.00205770325292238
"PS 239",0.363712634368477,0.00177312727113524
"PS 221 NORTH HILLS SCHOOL (THE)",0.366531825959629,0.00224012375406798
"PS 48 WILLIAM WORDSWORTH",0.370767251890237,0.00187528275177678
"QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL",0.372660399680626,0.00553463800475753
"PS 104 BAYS WATER (THE)",0.374890212674093,0.00213431986340353
"PS 84 STEINWAY",0.376931799081138,0.00088656363556762
"PS 40 SAMUEL HUNTINGTON",0.380402607587842,0.00131342760824833
"PS 89 ELMHURST",0.38416072960432,0.00662186419158531
"IS 77",0.390839305283628,0.00340761496139982
"PS 62 CHESTER PARK SCHOOL",0.391134399137716,0.00316317148986472
"PS 253",0.393587088388885,0.00190811844198298
"PS 209 CLEARVIEW GARDENS",0.398554488910728,0.00197743823241831
"QUEENS METROPOLITAN HIGH SCHOOL",0.403205603036874,0.00402054784524904
"PS/IS 116 WILLIAM C HUGHLEY",0.405291511929301,0.00269617500693198
"PS 115 GLEN OAKS",0.407917182234573,0.00262685521649665
"PS 159",0.408360348888187,0.00222553011397633
"30TH AVENUE SCHOOL (THE)",0.410419152600969,0.00186798593173095
"MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE",0.41199369242918,0.00186433752170804
"PS 197 OCEAN SCHOOL (THE)",0.41334850842371,0.00162354246019585
"JHS 74 NATHANIEL HAWTHORNE",0.414650551515894,0.00421756198648629
"PS 121",0.414752836559922,0.00309385169942939
"PS 122 MAMIE FAY",0.416415425823498,0.00484144010040424
"PS 20 JOHN BOWNE",0.420409690715835,0.00407892240561563
