"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"BROOKSIDE ELEMENTARY SCHOOL CAMPUS","MONROE",366,191,22,54,"amind",0
"BROOKVIEW SCHOOL","MONROE",145,58,0,19,"amind",1
"BROOME STREET ACADEMY CHARTER HIGH SCHOOL","NEW YORK",297,228,16,76,"amind",4
"BROWNSVILLE ACADEMY HIGH SCHOOL","KINGS",107,91,3,28,"amind",0
"BROWNSVILLE ASCEND CHARTER SCHOOL","KINGS",1051,900,3,168,"amind",8
"BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL","KINGS",279,267,31,104,"amind",2
"BROWNSVILLE COLLEGIATE  CHARTER SCHOOL","KINGS",353,292,29,70,"amind",9
"BUCKMAN HEIGHTS ELEMENTARY SCHOOL","MONROE",362,237,18,46,"amind",0
"BUFFALO ACADEMY FOR THE VISUAL & PERFORMING ARTS","ERIE",724,469,10,143,"amind",9
"BUFFALO ACADEMY OF SCIENCE CHARTER SCHOOL","ERIE",701,630,56,83,"amind",7
"BUFFALO COLLEGIATE CHARTER SCHOOL","ERIE",111,93,0,9,"amind",0
"BUFFALO ELEMENTARY SCHOOL OF TECHNOLOGY","ERIE",543,526,220,97,"amind",0
"BUFFALO UNITED CHARTER SCHOOL","ERIE",640,610,22,74,"amind",0
"BUILD COMMUNITY SCHOOL","ERIE",356,342,24,97,"amind",1
"BURGARD VOCATIONAL HIGH SCHOOL","ERIE",493,440,66,124,"amind",3
"BUSHWICK ASCEND CHARTER SCHOOL","KINGS",887,816,129,147,"amind",2
"BUSHWICK COMMUNITY HIGH SCHOOL","KINGS",155,127,9,63,"amind",0
"BUSHWICK LEADERS HS FOR ACADEMIC EXCELLENCE","KINGS",310,296,82,86,"amind",2
"BUSHWICK SCHOOL FOR SOCIAL JUSTICE","KINGS",324,272,114,76,"amind",2
"BUSINESS OF SPORTS SCHOOL","NEW YORK",433,316,38,109,"amind",6
"BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL","QUEENS",525,350,21,70,"amind",15
"CALKINS ROAD MIDDLE SCHOOL","MONROE",668,21,10,83,"amind",0
"CAMBRIA HEIGHTS ACADEMY","QUEENS",371,277,36,63,"amind",2
"CANAL VIEW ELEMENTARY SCHOOL","MONROE",487,174,42,49,"amind",0
"CANARSIE ASCEND CHARTER SCHOOL","KINGS",865,643,8,111,"amind",7
"CAPITAL PREP (CP) HARLEM CHARTER","NEW YORK",333,231,5,79,"amind",2
"CASCADES HIGH SCHOOL","NEW YORK",164,139,3,33,"amind",0
"CASEY MIDDLE SCHOOL","ERIE",629,128,23,63,"amind",3
"CASTLE BRIDGE SCHOOL","NEW YORK",196,130,70,77,"amind",0
