"school_name","county","total","n_ed","n_ell","n_swd","race","count"
"HARRIS HILL ELEMENTARY SCHOOL","ERIE",453,73,15,38,"multi",16
"HARRY S TRUMAN HIGH SCHOOL","BRONX",2078,1525,174,611,"multi",5
"HARVEST COLLEGIATE HIGH SCHOOL","NEW YORK",458,311,12,120,"multi",19
"HARVEY AUSTIN SCHOOL #97","ERIE",518,487,25,107,"multi",11
"HARVEY MILK HIGH SCHOOL","NEW YORK",67,59,3,26,"multi",0
"HAWTREE CREEK MIDDLE SCHOOL","QUEENS",377,340,10,93,"multi",2
"HEALTH OPPORTUNITIES HIGH SCHOOL","BRONX",513,454,69,113,"multi",1
"HEALTH SCIENCES CHARTER SCHOOL","ERIE",449,449,14,36,"multi",14
"HEBREW LANGUAGE ACADEMY CHARTER 2","KINGS",233,183,55,71,"multi",9
"HEBREW LANGUAGE ACADEMY CHARTER SCHOOL","KINGS",720,498,37,141,"multi",6
"HEIM ELEMENTARY SCHOOL","ERIE",602,99,56,68,"multi",32
"HEIM MIDDLE SCHOOL","ERIE",679,114,20,80,"multi",29
"HEKETI COMMUNITY CHARTER SCHOOL","BRONX",268,258,53,44,"multi",2
"HELENDALE ROAD PRIMARY SCHOOL","MONROE",320,188,22,24,"multi",27
"HELLENIC CLASSICAL CHARTER SCHOOL","KINGS",477,261,12,51,"multi",12
"HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES","NEW YORK",198,164,24,61,"multi",2
"HENRY V BURGER MIDDLE SCHOOL","MONROE",591,255,17,64,"multi",34
"HERBERT H LEHMAN HIGH SCHOOL","BRONX",795,637,104,203,"multi",0
"HERBERT HOOVER ELEMENTARY SCHOOL","ERIE",613,290,27,124,"multi",33
"HERBERT HOOVER MIDDLE SCHOOL","ERIE",841,448,25,137,"multi",48
"HERITAGE HEIGHTS ELEMENTARY SCHOOL","ERIE",396,255,108,19,"multi",22
"HERITAGE SCHOOL (THE)","NEW YORK",318,287,23,71,"multi",4
"HERMAN BADILLO COMMUNITY SCHOOL","ERIE",654,626,421,146,"multi",5
"HERO (HEALTH, EDUCATION AND RESEARCH OCCUPATIONS) HIGH SCHOOL","BRONX",531,431,54,114,"multi",4
"HIGH SCH-CONSTRUCTION, TRADES, ENGINEERING & ARCHITECTURE","QUEENS",1068,662,17,185,"multi",83
"HIGH SCHOOL FOR ARTS AND BUSINESS","QUEENS",776,552,76,136,"multi",13
"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","NEW YORK",336,272,39,85,"multi",8
"HIGH SCHOOL FOR CIVIL RIGHTS","KINGS",219,186,26,57,"multi",1
"HIGH SCHOOL FOR COMMUNITY LEADERSHIP","QUEENS",463,359,69,71,"multi",24
"HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","NEW YORK",403,358,54,14,"multi",4
"HIGH SCHOOL FOR ENERGY AND TECHNOLOGY","BRONX",416,345,58,114,"multi",2
"HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","NEW YORK",1149,954,99,226,"multi",7
"HIGH SCHOOL FOR EXCELLENCE AND INNOVATION","NEW YORK",174,164,84,36,"multi",0
"HIGH SCHOOL FOR GLOBAL CITIZENSHIP (THE)","KINGS",212,192,31,36,"multi",2
"HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES","NEW YORK",405,397,156,77,"multi",4
"HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES","NEW YORK",1830,1370,77,265,"multi",9
"HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA","KINGS",237,170,22,49,"multi",2
"HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE)","NEW YORK",304,232,36,60,"multi",5
"HIGH SCHOOL FOR LANGUAGE AND INNOVATION","BRONX",369,367,290,16,"multi",1
"HIGH SCHOOL FOR LAW & PUBLIC SERVICE","NEW YORK",482,435,186,125,"multi",0
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","NEW YORK",430,384,26,86,"multi",4
"HIGH SCHOOL FOR MEDIA & COMMUNICATIONS","NEW YORK",387,372,197,67,"multi",3
"HIGH SCHOOL FOR MEDICAL PROFESSIONS","KINGS",465,452,21,74,"multi",3
"HIGH SCHOOL FOR SERVICE AND LEARNING AT ERASMUS","KINGS",290,227,41,61,"multi",3
"HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS","BRONX",416,372,105,97,"multi",4
"HIGH SCHOOL FOR VIOLIN AND DANCE","BRONX",222,205,38,66,"multi",0
"HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT","KINGS",456,366,38,119,"multi",3
"HIGH SCHOOL MATH SCIENCE AND ENGINEERING AT CCNY","NEW YORK",490,204,1,28,"multi",66
"HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE","BRONX",412,105,0,13,"multi",18
"HIGH SCHOOL OF APPLIED COMMUNICATIONS","QUEENS",406,307,29,77,"multi",8
"HIGH SCHOOL OF ARTS AND TECHNOLOGY","NEW YORK",498,426,42,132,"multi",9
"HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY","BRONX",538,415,45,141,"multi",0
"HIGH SCHOOL OF CONTEMPORARY ARTS","BRONX",388,314,66,99,"multi",1
"HIGH SCHOOL OF ECONOMICS & FINANCE","NEW YORK",742,575,46,153,"multi",4
"HIGH SCHOOL OF ENTERPRISE, BUSINESS & TECHNOLOGY","KINGS",834,726,103,143,"multi",1
"HIGH SCHOOL OF FASHION INDUSTRIES (THE)","NEW YORK",1596,1298,51,281,"multi",4
"HIGH SCHOOL OF HOSPITALITY MANAGEMENT","NEW YORK",378,341,35,96,"multi",1
"HIGH SCHOOL OF SPORTS MANAGEMENT","KINGS",246,187,31,55,"multi",2
"HIGH SCHOOL OF TELECOMMUNICATIONS ARTS AND TECHNOLOGY","KINGS",1233,965,105,252,"multi",36
"HIGH SCHOOL OF WORLD CULTURES","BRONX",456,447,360,20,"multi",0
"HIGHBRIDGE GREEN SCHOOL (THE)","BRONX",379,368,84,101,"multi",1
"HIGHGATE HEIGHTS","ERIE",394,361,15,74,"multi",9
"HIGHLAND ELEMENTARY SCHOOL","ERIE",339,159,1,57,"multi",9
"HIGHLAND ELEMENTARY SCHOOL","ERIE",760,318,11,106,"multi",47
"HIGHLAND PARK COMMUNITY SCHOOL","KINGS",347,316,50,68,"multi",0
"HILLCREST HIGH SCHOOL","QUEENS",3244,2704,555,384,"multi",4
"HILLSIDE ARTS AND LETTERS ACADEMY","QUEENS",445,334,62,86,"multi",10
"HILLVIEW ELEMENTARY SCHOOL","ERIE",535,76,8,69,"multi",15
"HILTON HIGH SCHOOL","MONROE",1490,395,10,161,"multi",33
"HOLLAND JUNIOR/SENIOR HIGH SCHOOL","ERIE",268,76,0,50,"multi",0
"HOLLAND MIDDLE SCHOOL","ERIE",289,98,0,48,"multi",4
"HOLMES ELEMENTARY SCHOOL","ERIE",314,266,24,105,"multi",36
"HOLMES ROAD ELEMENTARY SCHOOL","MONROE",326,209,33,39,"multi",21
"HONEOYE FALLS-LIMA MIDDLE SCHOOL","MONROE",502,98,3,74,"multi",13
"HONEOYE FALLS-LIMA SENIOR HIGH SCHOOL","MONROE",735,116,1,100,"multi",17
"HOSTOS-LINCOLN ACADEMY OF SCIENCE","BRONX",556,452,20,114,"multi",0
"HS 560 CITY-AS-SCHOOL","NEW YORK",520,349,16,130,"multi",10
"HS FOR LAW ENFORCEMENT AND PUBLIC SAFETY","QUEENS",464,328,32,99,"multi",4
"HS FOR PUBLIC SERVICE-HEROES OF TOMORROW","KINGS",463,357,7,83,"multi",8
"HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","NEW YORK",476,387,42,126,"multi",8
"HUMANITIES AND ARTS MAGNET HIGH SCHOOL","QUEENS",438,368,52,72,"multi",1
"HUMANITIES PREPARATORY ACADEMY","NEW YORK",232,189,7,48,"multi",5
"HUNTERS POINT COMMUNITY MIDDLE SCHOOL","QUEENS",428,232,14,108,"multi",10
"HUNTS POINT SCHOOL (THE)","BRONX",300,277,72,101,"multi",1
"HUTCHINSON CENTRAL TECHNICAL HIGH SCHOOL","ERIE",1153,779,18,125,"multi",20
"HUTH ROAD SCHOOL","ERIE",424,114,14,51,"multi",37
"HYDE LEADERSHIP CHARTER SCHOOL","BRONX",976,892,137,237,"multi",3
"HYDE LEADERSHIP CHARTER SCHOOL OF BROOKLYN","KINGS",456,395,35,77,"multi",1
"ICAHN CHARTER SCHOOL 1","BRONX",332,266,16,23,"multi",0
"ICAHN CHARTER SCHOOL 2","BRONX",325,177,15,35,"multi",3
"ICAHN CHARTER SCHOOL 3","BRONX",322,263,8,23,"multi",2
"ICAHN CHARTER SCHOOL 4","BRONX",317,199,8,34,"multi",6
"ICAHN CHARTER SCHOOL 5","BRONX",319,228,3,21,"multi",2
"ICAHN CHARTER SCHOOL 6","BRONX",355,297,18,35,"multi",1
"ICAHN CHARTER SCHOOL 7","BRONX",263,195,15,24,"multi",1
"IMAGINE ME LEADERSHIP CHARTER SCHOOL","KINGS",225,184,7,33,"multi",4
"IN-TECH ACADEMY (MS/HS 368)","BRONX",1016,876,169,230,"multi",5
"INDEPENDENCE HIGH SCHOOL","NEW YORK",267,229,18,60,"multi",1
"INDIAN LANDING ELEMENTARY SCHOOL","MONROE",498,101,10,25,"multi",33
"INFORMATION TECHNOLOGY HIGH SCHOOL","QUEENS",1004,755,71,199,"multi",4
"INNOVATION DIPLOMA PLUS","NEW YORK",172,140,10,25,"multi",0
"INSTITUTE FOR COLLABORATIVE EDUCATION","NEW YORK",484,140,2,84,"multi",18
"INSTITUTE FOR HEALTH PROFESSIONALS AT CAMBRIA HEIGHTS","QUEENS",404,337,35,40,"multi",3
"INTEGRATED ARTS AND TECHNOLOGY HIGH SCHOOL","MONROE",813,747,198,228,"multi",1
"INTERNATIONAL CHARTER SCHOOL OF NY","KINGS",343,124,9,55,"multi",33
"INTERNATIONAL COMMUNITY HIGH SCHOOL","BRONX",400,392,312,31,"multi",4
"INTERNATIONAL HIGH SCHOOL AT LAFAYETTE","KINGS",335,297,290,9,"multi",1
"INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","QUEENS",510,359,332,11,"multi",0
"INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS","KINGS",346,287,301,20,"multi",0
"INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","NEW YORK",345,301,294,12,"multi",0
"INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES","QUEENS",261,243,191,11,"multi",0
"INTERNATIONAL LEADERSHIP CHARTER SCHOOL","BRONX",355,314,31,64,"multi",14
"INTERNATIONAL PREPARATORY SCHOOL AT GROVER CLEVELAND AT #187","ERIE",798,730,313,135,"multi",13
"INTERNATIONAL SCHOOL","ERIE",1015,970,531,143,"multi",24
"INTERNATIONAL SCHOOL FOR LIBERAL ARTS","BRONX",517,508,363,47,"multi",0
"INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL","NEW YORK",916,811,137,229,"multi",10
"INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES","NEW YORK",404,369,50,104,"multi",4
"IRONDEQUOIT HIGH SCHOOL","MONROE",1181,439,27,150,"multi",41
"IROQUOIS INTERMEDIATE SCHOOL","ERIE",177,43,0,41,"multi",2
"IROQUOIS MIDDLE SCHOOL","ERIE",529,79,3,63,"multi",19
"IROQUOIS MIDDLE SCHOOL","MONROE",529,79,3,63,"multi",19
"IROQUOIS MIDDLE SCHOOL","ERIE",516,112,0,91,"multi",20
"IROQUOIS MIDDLE SCHOOL","MONROE",516,112,0,91,"multi",20
"IROQUOIS MIDDLE SCHOOL","ERIE",418,137,12,47,"multi",21
"IROQUOIS MIDDLE SCHOOL","MONROE",418,137,12,47,"multi",21
"IROQUOIS SENIOR HIGH SCHOOL","ERIE",751,158,2,121,"multi",6
"IRWIN ALTMAN MIDDLE SCHOOL 172","QUEENS",979,593,58,176,"multi",11
"IS 10 HORACE GREELEY","QUEENS",798,616,136,156,"multi",2
"IS 117 JOSEPH H WADE","BRONX",487,466,175,121,"multi",0
"IS 119 GLENDALE (THE)","QUEENS",1269,937,30,129,"multi",14
"IS 125 THOMAS J MCCANN WOODSIDE","QUEENS",1506,1138,245,266,"multi",3
"IS 136 CHARLES O DEWEY","KINGS",513,480,189,126,"multi",3
"IS 141 STEINWAY (THE)","QUEENS",1182,691,108,174,"multi",33
"IS 145 JOSEPH PULITZER","QUEENS",1713,1549,325,251,"multi",2
"IS 171 ABRAHAM LINCOLN","KINGS",414,394,118,77,"multi",0
"IS 181 PABLO CASALS","BRONX",895,717,31,216,"multi",11
"IS 187 CHRISTA MCAULIFFE SCHOOL (THE)","KINGS",952,583,25,97,"multi",7
"IS 192 LINDEN (THE)","QUEENS",492,357,40,115,"multi",4
"IS 204 OLIVER W HOLMES","QUEENS",460,411,81,128,"multi",1
"IS 206 ANN MERSEREAU","BRONX",228,213,81,71,"multi",0
"IS 211 JOHN WILSON","KINGS",431,356,42,119,"multi",4
"IS 219 NEW VENTURE SCHOOL","BRONX",352,334,86,124,"multi",1
"IS 227 LOUIS ARMSTRONG","QUEENS",1588,1110,65,226,"multi",11
"IS 228 DAVID A BOODY","KINGS",1403,1098,177,238,"multi",9
"IS 229 ROLAND PATTERSON","BRONX",239,225,36,81,"multi",1
"IS 230","QUEENS",1258,960,170,167,"multi",9
"IS 232","BRONX",505,491,175,119,"multi",1
"IS 237","QUEENS",1382,1117,284,188,"multi",9
"IS 238 SUSAN B ANTHONY ACADEMY","QUEENS",1298,1087,207,194,"multi",7
"IS 25 ADRIEN BLOCK","QUEENS",1049,587,123,160,"multi",12
"IS 250 ROBERT F KENNEDY COMMUNITY MIDDLE SCHOOL (THE)","QUEENS",363,315,54,77,"multi",1
"IS 254","BRONX",490,440,184,148,"multi",1
"IS 281 JOSEPH B CAVALLARO","KINGS",1353,1128,228,265,"multi",4
"IS 285 MEYER LEVIN","KINGS",748,579,25,168,"multi",6
"IS 286 RENAISSANCE LEADERSHIP ACADEMY","NEW YORK",126,111,11,56,"multi",0
"IS 289","NEW YORK",283,149,14,66,"multi",7
"IS 303 HERBERT S EISENBERG","KINGS",568,428,94,96,"multi",7
"IS 303 LEADERSHIP & COMM SERVICE","BRONX",322,317,44,115,"multi",1
"IS 313 SCHOOL OF LEADERSHIP DEVELOPMENT","BRONX",299,278,110,77,"multi",2
"IS 318 EUGENO MARIA DE HOSTOS","KINGS",1208,774,66,239,"multi",6
"IS 318 MATH, SCIENCE & TECH THROUGH ARTS SCHOOL","BRONX",255,241,34,79,"multi",1
"IS 338","KINGS",213,167,13,30,"multi",4
"IS 339","BRONX",480,450,140,131,"multi",1
"IS 340","KINGS",204,170,5,45,"multi",4
"IS 347 SCHOOL OF HUMANITIES","KINGS",316,299,62,77,"multi",0
"IS 349 MATH, SCIENCE AND TECHNOLOGY","KINGS",326,318,65,75,"multi",0
"IS 364 GATEWAY","KINGS",331,276,6,98,"multi",2
"IS 381","KINGS",254,198,30,52,"multi",1
"IS 392","KINGS",311,240,4,51,"multi",10
"IS 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL","QUEENS",1791,1390,316,357,"multi",3
"IS 528 BEA FULLER RODGERS SCHOOL","NEW YORK",230,222,61,45,"multi",0
"IS 59 SPRINGFIELD GARDENS","QUEENS",603,400,20,118,"multi",3
"IS 61 LEONARDO DA VINCI","QUEENS",2235,2088,709,491,"multi",3
"IS 68 ISAAC BILDERSEE","KINGS",289,236,67,86,"multi",2
"IS 73 FRANK SANSIVIERI INTERMEDIATE SCHOOL  (THE)","QUEENS",1978,1337,266,402,"multi",5
"IS 77","QUEENS",934,846,192,278,"multi",1
"IS 93 RIDGEWOOD","QUEENS",1126,1016,151,257,"multi",3
"IS 96 SETH LOW","KINGS",794,607,231,183,"multi",7
"IS 98 BAY ACADEMY","KINGS",1562,814,27,151,"multi",36
"ISAAC NEWTON MS FOR MATH AND SCIENCE","NEW YORK",239,211,31,75,"multi",0
"IT TAKES A VILLAGE ACADEMY","KINGS",645,465,107,99,"multi",1
"IVAN L GREEN PRIMARY SCHOOL","MONROE",353,228,26,34,"multi",31
"JACQUELINE KENNEDY-ONASSIS HIGH SCHOOL","NEW YORK",467,369,47,97,"multi",1
"JAMAICA CHILDREN'S SCHOOL","QUEENS",198,176,12,63,"multi",0
"JAMAICA GATEWAY TO THE SCIENCES","QUEENS",493,371,50,76,"multi",24
"JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING","NEW YORK",241,197,20,78,"multi",1
"JAMES MADISON HIGH SCHOOL","KINGS",3808,2855,517,609,"multi",10
"JAMES MONROE HIGH SCHOOL","MONROE",825,778,327,186,"multi",1
"JAMES WELDON JOHNSON SCHOOL","NEW YORK",770,684,89,233,"multi",4
"JEAN NUZZI INTERMEDIATE SCHOOL","QUEENS",1164,788,81,193,"multi",8
"JEFFERSON AVENUE SCHOOL","MONROE",629,122,3,69,"multi",19
"JEFFERSON ROAD SCHOOL","MONROE",352,10,0,48,"multi",34
"JHS 104 SIMON BARUCH","NEW YORK",1117,483,53,185,"multi",52
"JHS 118 WILLIAM W NILES","BRONX",1107,1000,134,259,"multi",2
"JHS 123 JAMES M KIERNAN","BRONX",419,364,105,105,"multi",2
"JHS 127 CASTLE HILL (THE)","BRONX",845,634,111,170,"multi",5
"JHS 131 ALBERT EINSTEIN","BRONX",477,401,48,149,"multi",1
"JHS 14 SHELL BANK","KINGS",527,465,135,130,"multi",5
"JHS 143 ELEANOR ROOSEVELT","NEW YORK",247,229,145,77,"multi",2
"JHS 144 MICHELANGELO","BRONX",482,378,52,121,"multi",0
"JHS 151 LOU GEHRIG","BRONX",234,226,72,64,"multi",0
"JHS 157 STEPHEN A HALSEY","QUEENS",1655,904,172,253,"multi",46
"JHS 162 WILLOUGHBY (THE)","KINGS",319,282,50,71,"multi",0
"JHS 167 ROBERT F WAGNER","NEW YORK",1378,427,40,251,"multi",66
"JHS 185 EDWARD BLEEKER","QUEENS",1513,1128,203,224,"multi",7
"JHS 189 DANIEL CARTER BEARD","QUEENS",774,609,208,147,"multi",4
"JHS 190 RUSSELL SAGE","QUEENS",1078,468,106,161,"multi",28
"JHS 194 WILLIAM CARR","QUEENS",1273,701,112,203,"multi",8
"JHS 201 DYKER HEIGHTS (THE)","KINGS",1652,1208,159,233,"multi",2
"JHS 202 ROBERT H GODDARD","QUEENS",1100,848,79,189,"multi",9
"JHS 210 ELIZABETH BLACKWELL","QUEENS",1873,1542,295,334,"multi",8
"JHS 216 GEORGE J RYAN","QUEENS",1513,1051,100,191,"multi",18
"JHS 217 ROBERT A VAN WYCK","QUEENS",1664,1208,275,293,"multi",11
"JHS 218 JAMES P SINNOTT","KINGS",427,413,104,117,"multi",2
"JHS 22 JORDAN L MOTT","BRONX",423,411,121,102,"multi",1
"JHS 220 JOHN J PERSHING","KINGS",1526,1319,489,259,"multi",5
"JHS 223 MONTAUK (THE)","KINGS",936,906,260,168,"multi",0
"JHS 226 VIRGIL I GRISSON","QUEENS",942,808,70,195,"multi",5
"JHS 227 EDWARD B SHALLOW","KINGS",1620,1471,453,253,"multi",2
"JHS 234 ARTHUR W CUNNINGHAM","KINGS",1767,1269,170,283,"multi",14
"JHS 259 WILLIAM MCKINLEY","KINGS",1886,1495,221,239,"multi",18
"JHS 278 MARINE PARK","KINGS",1202,841,46,220,"multi",15
"JHS 291 ROLAND HAYES","KINGS",291,278,85,81,"multi",0
"JHS 292 MARGARET S DOUGLAS","KINGS",556,527,84,145,"multi",2
"JHS 383 PHILIPPA SCHUYLER","KINGS",912,752,53,158,"multi",9
"JHS 50 JOHN D WELLS","KINGS",324,294,57,103,"multi",0
"JHS 52 INWOOD","NEW YORK",255,248,117,66,"multi",0
"JHS 54 BOOKER T WASHINGTON","NEW YORK",869,174,10,129,"multi",72
"JHS 57 WHITELAW REID","KINGS",161,153,13,56,"multi",0
"JHS 62 DITMAS","KINGS",1204,1037,262,239,"multi",6
"JHS 67 LOUIS PASTEUR","QUEENS",951,419,36,101,"multi",14
"JHS 74 NATHANIEL HAWTHORNE","QUEENS",1156,547,74,179,"multi",22
"JHS 78 ROY H MANN","KINGS",573,431,36,143,"multi",9
"JHS 8 RICHARD S GROSSLEY","QUEENS",386,333,49,74,"multi",3
"JHS 80 THE MOSHOLU PARKWAY","BRONX",657,589,202,179,"multi",2
"JHS 88 PETER ROUGET","KINGS",1454,1170,201,346,"multi",11
"JHS 98 HERMAN RIDDER","BRONX",261,242,91,74,"multi",1
"JILL CHAIFETZ TRANSFER HIGH SCHOOL","BRONX",205,170,18,60,"multi",3
"JOHANNA PERRIN MIDDLE SCHOOL","MONROE",614,134,17,68,"multi",22
"JOHN A SCIOLE ELEMENTARY SCHOOL","ERIE",431,125,12,69,"multi",17
"JOHN ADAMS HIGH SCHOOL","QUEENS",2352,1760,320,330,"multi",12
"JOHN BOWNE HIGH SCHOOL","QUEENS",3523,2626,602,536,"multi",44
"JOHN DEWEY HIGH SCHOOL","KINGS",2189,1820,374,292,"multi",32
"JOHN ERICSSON MIDDLE SCHOOL 126","KINGS",370,319,33,100,"multi",0
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",722,651,116,107,"multi",49
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",681,146,15,100,"multi",9
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",296,207,7,46,"multi",12
"JOHN F KENNEDY MIDDLE SCHOOL","ERIE",835,281,29,149,"multi",16
"JOHN F KENNEDY SENIOR HIGH SCHOOL","ERIE",411,238,2,53,"multi",11
"JOHN T WAUGH ELEMENTARY SCHOOL","ERIE",346,233,0,88,"multi",10
"JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL","NEW YORK",478,406,47,183,"multi",1
"JONAS BRONCK ACADEMY","BRONX",267,231,19,57,"multi",2
"JOSEPH C WILSON FOUNDATION ACADEMY","MONROE",586,537,58,109,"multi",1
"JOSEPH C WILSON MAGNET HIGH SCHOOL","MONROE",774,657,100,147,"multi",1
"JUAN MOREL CAMPOS SECONDARY SCHOOL","KINGS",505,437,138,177,"multi",4
"JUDITH S KAYE HIGH SCHOOL","NEW YORK",92,69,4,36,"multi",1
"KAEGEBEIN SCHOOL","ERIE",394,123,14,46,"multi",18
"KAPPA","BRONX",333,295,36,89,"multi",0
"KAPPA VII","BRONX",250,241,62,77,"multi",0
"KENMORE EAST SENIOR HIGH SCHOOL","ERIE",1210,555,31,250,"multi",41
"KENMORE WEST SENIOR HIGH SCHOOL","ERIE",1397,670,29,251,"multi",46
"KEY COLLEGIATE CHARTER SCHOOL","KINGS",113,109,1,39,"multi",0
"KHALIL GIBRAN INTERNATIONAL ACADEMY","KINGS",214,179,74,43,"multi",11
"KING CENTER CHARTER SCHOOL","ERIE",427,402,13,45,"multi",13
"KINGS COLLEGIATE CHARTER SCHOOL","KINGS",817,681,11,129,"multi",3
"KINGSBOROUGH EARLY COLLEGE SCHOOL","KINGS",668,469,9,131,"multi",13
"KINGSBRIDGE INTERNATIONAL HIGH SCHOOL","BRONX",486,471,379,21,"multi",0
"KIPP ACADEMY CHARTER SCHOOL","BRONX",1061,933,101,189,"multi",3
"KIPP AMP CHARTER SCHOOL","KINGS",870,740,16,159,"multi",6
"KIPP FREEDOM CHARTER SCHOOL","BRONX",191,181,26,30,"multi",0
"KIPP INFINITY CHARTER SCHOOL","NEW YORK",1099,977,98,260,"multi",3
"KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",1050,936,99,214,"multi",2
"KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHARTER SCH","NEW YORK",1001,852,37,272,"multi",12
"KLEM ROAD NORTH ELEMENTARY SCHOOL","MONROE",485,94,43,30,"multi",15
"KLEM ROAD SOUTH ELEMENTARY SCHOOL","MONROE",521,157,25,44,"multi",27
"KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIGH SCHOOL","BRONX",468,412,52,118,"multi",5
"KNOWLEDGE AND POWER PREP ACADEMY V","KINGS",195,176,6,64,"multi",1
"KNOWLEDGE AND POWER PREPARATORY ACADEMY III","BRONX",388,357,39,108,"multi",1
"KNOWLEDGE AND POWER PREPARATORY ACADEMY VI","QUEENS",265,224,16,50,"multi",0
"KURT HAHN EXPEDITIONARY LEARNING SCHOOL","KINGS",297,244,21,81,"multi",0
"LA CIMA CHARTER SCHOOL","KINGS",369,300,30,65,"multi",2
"LACKAWANNA HIGH SCHOOL","ERIE",572,437,83,92,"multi",11
"LACKAWANNA MIDDLE SCHOOL","ERIE",401,332,84,80,"multi",7
"LAFAYETTE INTERNATIONAL SCHOOL","ERIE",287,276,276,46,"multi",0
"LAKE SHORE MIDDLE SCHOOL","ERIE",517,259,0,116,"multi",16
"LAKE SHORE SENIOR HIGH SCHOOL","ERIE",726,359,0,157,"multi",10
"LAKESHORE ELEMENTARY SCHOOL","MONROE",426,296,21,77,"multi",35
"LANCASTER HIGH SCHOOL","ERIE",1838,382,2,300,"multi",23
"LANCASTER MIDDLE SCHOOL","ERIE",832,174,1,169,"multi",21
"LANDMARK HIGH SCHOOL","NEW YORK",330,271,18,77,"multi",0
"LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL","KINGS",310,275,11,78,"multi",6
"LAURELTON-PARDEE INTERMEDIATE SCHOOL","MONROE",337,204,13,21,"multi",27
"LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL","NEW YORK",470,394,23,92,"multi",7
"LEADERSHIP ACADEMY FOR YOUNG MEN","MONROE",569,529,61,166,"multi",0
"LEADERSHIP PREPARATORY BEDFORD STUYVESANT CHARTER SCHOOL","KINGS",1155,911,39,153,"multi",13
"LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL","KINGS",788,706,14,110,"multi",6
"LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL","KINGS",794,639,6,106,"multi",3
"LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL","KINGS",1201,968,39,138,"multi",12
"LEARNERS AND LEADERS","QUEENS",564,482,129,150,"multi",0
"LEDGEVIEW ELEMENTARY SCHOOL","ERIE",471,57,0,49,"multi",17
"LEGACY COLLEGE PREPARATORY CHARTER","BRONX",250,230,31,55,"multi",3
"LEO BERNABI SCHOOL","MONROE",438,133,0,73,"multi",23
"LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES","KINGS",1061,531,5,181,"multi",7
"LEONARDO DA VINCI HIGH SCHOOL","ERIE",379,263,36,41,"multi",6
"LEWIS J BENNETT HS OF INNOVATIVE TEC","ERIE",251,213,30,60,"multi",3
"LEXINGTON ACADEMY (THE)","NEW YORK",603,531,65,172,"multi",2
"LIBERATION DIPLOMA PLUS","KINGS",208,170,12,82,"multi",0
"LIBERTY AVENUE MIDDLE SCHOOL","KINGS",486,466,74,120,"multi",0
"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","NEW YORK",411,329,355,14,"multi",0
"LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC","KINGS",281,220,25,68,"multi",1
"LIFE SCIENCES SECONDARY SCHOOL","NEW YORK",426,342,44,92,"multi",3
"LIMA ELEMENTARY SCHOOL","MONROE",297,61,0,29,"multi",11
"LINDEN TREE ELEMENTARY SCHOOL","BRONX",366,290,109,101,"multi",2
"LISTWOOD SCHOOL","MONROE",160,27,0,4,"multi",7
"LONG ISLAND CITY HIGH SCHOOL","QUEENS",2268,1903,253,382,"multi",30
"LONGRIDGE SCHOOL","MONROE",791,567,45,116,"multi",70
"LORRAINE ELEMENTARY SCHOOL","ERIE",708,566,32,223,"multi",38
