"school_name","grade","subject","n_tested","school_mean","nys_mean","sd","z_score"
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","6","ELA",16,595,598,10.1228499667514,-0.296359227870958
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","6","Math",16,594,600,10.2858259807726,-0.583326998844417
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","3","ELA",78,620,600,8.93549570747314,2.23826418306856
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","3","Math",78,626,600,9.56336548656681,2.71870818244068
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","4","ELA",65,616,599,9.0234455676591,1.88398099955627
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","4","Math",65,626,600,10.3950780607035,2.50118371869545
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","5","ELA",101,615,599,9.31679134957118,1.71732943238408
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","5","Math",101,625,600,10.5199311573998,2.37644140688268
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","6","ELA",88,621,598,10.1228499667514,2.27208741367734
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","6","Math",88,625,600,10.2858259807726,2.43052916185174
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","7","ELA",77,617,600,9.83761226983842,1.72806160008167
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","7","Math",77,626,601,10.6493744935478,2.34755571936614
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","8","ELA",45,619,600,9.19627210164209,2.0660545697215
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","3","ELA",85,624,600,8.93549570747314,2.68591701968227
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","3","Math",87,632,600,9.56336548656681,3.34610237838853
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","4","ELA",75,615,599,9.0234455676591,1.77315858781767
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","4","Math",75,631,600,10.3950780607035,2.98218058767535
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","3","ELA",83,618,600,8.93549570747314,2.01443776476171
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","3","Math",83,622,600,9.56336548656681,2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","4","ELA",89,613,599,9.0234455676591,1.55151376434046
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","4","Math",89,622,600,10.3950780607035,2.11638622351154
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","5","Math",NA,NA,600,10.5199311573998,NA
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","3","ELA",79,621,600,8.93549570747314,2.35017739222199
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","3","Math",78,626,600,9.56336548656681,2.71870818244068
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","4","ELA",84,617,599,9.0234455676591,1.99480341129488
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","4","Math",84,625,600,10.3950780607035,2.40498434489947
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","3","ELA",95,615,600,8.93549570747314,1.67869813730142
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","3","Math",95,617,600,9.56336548656681,1.77761688851891
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","4","ELA",94,612,599,9.0234455676591,1.44069135260186
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","4","Math",93,618,600,10.3950780607035,1.73158872832762
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","5","ELA",112,617,599,9.31679134957118,1.93199561143209
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","5","Math",112,625,600,10.5199311573998,2.37644140688268
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","3","ELA",86,624,600,8.93549570747314,2.68591701968227
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","3","Math",85,629,600,9.56336548656681,3.03240528041461
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","4","ELA",101,618,599,9.0234455676591,2.10562582303348
"SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS","4","Math",100,629,600,10.3950780607035,2.78978184008339
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","3","ELA",79,621,600,8.93549570747314,2.35017739222199
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","3","Math",79,622,600,9.56336548656681,2.30044538514211
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","4","ELA",46,617,599,9.0234455676591,1.99480341129488
"SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2","4","Math",NA,NA,600,10.3950780607035,NA
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","3","ELA",73,616,600,8.93549570747314,1.79061134645485
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","3","Math",74,623,600,9.56336548656681,2.40501108446676
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","4","ELA",50,615,599,9.0234455676591,1.77315858781767
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","4","Math",50,626,600,10.3950780607035,2.50118371869545
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","5","ELA",110,619,599,9.31679134957118,2.1466617904801
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","5","Math",110,626,600,10.5199311573998,2.47149906315798
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","6","ELA",65,614,598,10.1228499667514,1.58058254864511
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1","6","Math",65,627,600,10.2858259807726,2.62497149479988
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","3","ELA",104,612,600,8.93549570747314,1.34295850984114
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","3","Math",105,621,600,9.56336548656681,2.19587968581747
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","4","ELA",85,613,599,9.0234455676591,1.55151376434046
"SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2","4","Math",85,628,600,10.3950780607035,2.69358246628741
