"school","ls_county","p_county"
"MIDDLE EARLY COLLEGE HIGH SCHOOL",0.730733846463918,0.002660404315767
"MILL MIDDLE SCHOOL",0.133082626773085,0.00697124464224131
"MULLEN ELEMENTARY SCHOOL",0.263048505905203,0.00205278110784491
"NATIVE AMERICAN MAGNET",0.679163261901383,0.00333371651914013
"NEW BUFFALO - CULINARY ART, HOSPITAL",0.380701279610161,0.00296421591972805
"NEWCOMER ACADEMY AT LAFAYETTE",0.760669161046251,0.0021348923521587
"NORTH COLLINS ELEMENTARY SCHOOL",0.302790923311802,0.00236480383623733
"NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL",0.313941904065714,0.00224984809419802
"NORTH PARK COMMUNITY SCHOOL #50",0.146697859220614,0.000254544857372769
"NORTHWOOD ELEMENTARY SCHOOL",0.0214820211547223,0.00405629546910154
"ORCHARD PARK HIGH SCHOOL",0.335244457506244,0.0122345754027557
"ORCHARD PARK MIDDLE SCHOOL",0.30289794710739,0.00937710410063554
"PARKDALE ELEMENTARY SCHOOL",0.33949548494435,0.00504163040086709
"PATHWAYS ACADEMY",0.664436751065002,0.00203635885898215
"PERSISTENCE PREP ACADEMY CHARTER SCH",1.1829007580259,0.000837534692000723
"PINEHURST ELEMENTARY SCHOOL",0.320765080645031,0.00523869738722021
"PS 17",0.550883873547115,0.00285747130212011
"PS 27 HILLERY PARK ACADEMY",0.15479810390718,0.00502520815200434
"PS 42 OCCUPATIONAL TRAINING CENTER",0.542288501575698,0.000632256581216232
"PS 59 DR CHARLES DREW SCIENCE MAGNET",0.609631341965468,0.00547681999573022
"PS 61 AT 171",0.93788311836133,0.00200351436125663
"PS 64 FREDERICK LAW OLMSTED",0.0480118323773294,0.004434007192945
"PS 65 ROOSEVELT ACADEMY ECC",0.236968024462643,0.00243870395611975
"PS 66 NORTH PARK ACADEMY",0.756445584512615,0.000968912682902797
"PS 69 HOUGHTON ACADEMY",0.198448122774291,0.00380996173616015
"PS 74 HAMLIN PARK ELEMENTARY SCHOOL",0.890669616782706,0.00342403888788531
"PS 81",0.382661711683812,0.00596127633718161
"PS 82",0.909113293965315,0.00250439295157079
"PS 84",0.161754777907646,0.0016914916328642
"REACH ACADEMY CHARTER SCHOOL",0.971055749623225,0.00200351436125663
"RIVERSIDE ACADEMY HIGH SCHOOL",0.542896886907004,0.00144515789992282
"RIVERSIDE INSTITUTE OF TECHNOLOGY",0.840149886312729,0.000862168065294861
"RIVERVIEW ELEMENTARY SCHOOL",0.23488699087485,0.00230732596521768
"SHERIDAN HILL ELEMENTARY SCHOOL",0.217639495625798,0.00390028410490533
"SMALLWOOD DRIVE SCHOOL",0.129159527361625,0.00534544200482814
"SOUTH BUFFALO CHARTER SCHOOL",0.133943978931844,0.00743927873482995
"SOUTH DAVIS ELEMENTARY SCHOOL",0.321119645296285,0.00280820455553183
"SOUTH PARK HIGH SCHOOL",0.18808326388088,0.00705335588655511
"SOUTHSIDE ELEMENTARY SCHOOL",0.0548620079746229,0.00821933555581101
"SPRINGVILLE ELEMENTARY SCHOOL",0.313849534535965,0.0045571740594157
"STANLEY MAKOWSKI EARLY CHILDHOOD CENTER",0.700454190899007,0.00521406401392607
"SWEET HOME MIDDLE SCHOOL",0.0147987364763718,0.00615013219910334
"SWEET HOME SENIOR HIGH SCHOOL",0.0174308627631799,0.00836713579557585
"TAPESTRY CHARTER SCHOOL",0.369478704166582,0.00785804608083031
"THEODORE ROOSEVELT SCHOOL",0.139045565554105,0.0023401704629432
"THOMAS A EDISON ELEMENTARY SCHOOL",0.203656366409173,0.00473781879690605
"TONAWANDA MIDDLE/HIGH SCHOOL",0.252850610440447,0.00747212323255547
"TRANSIT MIDDLE SCHOOL",0.25514262113754,0.007981212947301
"TRUMAN ELEMENTARY SCHOOL",0.0377716747610926,0.00255365969815907
"UNION EAST ELEMENTARY SCHOOL",0.127710480254815,0.00631435468773094
"UNION PLEASANT AVENUE ELEMENTARY SCHOOL",0.313735969507839,0.00503341927643572
"VERONICA E CONNOR MIDDLE SCHOOL",0.242903003034599,0.00539470875141642
"WALES PRIMARY SCHOOL",0.407180193308661,0.00194603649023697
"WATERFRONT SCHOOL",0.593042303401249,0.00626508794114266
"WEST BUFFALO CHARTER SCHOOL",0.544264728373573,0.00369500599412084
"WEST ELEMENTARY SCHOOL",0.27074165535532,0.00541934212471056
"WEST HERTEL ELEMENTARY SCHOOL",0.563526280928079,0.00595306521275023
"WEST MIDDLE SCHOOL",0.256856363095045,0.0067741776558882
"WEST SENECA EAST SENIOR HIGH SCHOOL",0.159357706093649,0.00692197789565303
"WEST SENECA WEST SENIOR HIGH SCHOOL",0.222240323154336,0.0102228499170676
"WESTERN NEW YORK MARITIME CHARTER SCHOOL",0.417053679809038,0.00369500599412084
"WESTMINSTER COMMUNITY CHARTER SCHOOL",1.23516826313118,0.00454075181055294
"WILLIAM STREET SCHOOL",0.249413092194622,0.0102556944147932
"WILLIAMSVILLE EAST HIGH SCHOOL",0.266749255324807,0.00826860230239929
"WILLIAMSVILLE NORTH HIGH SCHOOL",0.158956113341406,0.0116105299459708
"WILLIAMSVILLE SOUTH HIGH SCHOOL",0.118191029525542,0.00729968961949649
"WILLOW RIDGE ELEMENTARY SCHOOL",0.0377611500917392,0.00263577094247286
"WINCHESTER ELEMENTARY SCHOOL",0.169190144127973,0.00289852692427701
"WINDERMERE BLVD SCHOOL",0.0561643472788894,0.00559177573776953
"WINDOM ELEMENTARY SCHOOL",0.297572385911295,0.00477887441906295
"WOODROW WILSON ELEMENTARY SCHOOL",0.107315540316983,0.00230732596521768
