"entity_name","ls","p"
"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",0.510534600430113,0.0107331895706724
"PS 173",0.511097401236822,0.0024995099000196
"DEMOCRACY PREP ENDURANCE CHARTER SCHOOL",0.514545407723877,0.00400656733973731
"PS 4 DUKE ELLINGTON",0.515732436165092,0.00286095863556165
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3",0.522627192424627,0.00680013722799451
"DEMOCRACY PREPARATORY CHARTER SCHOOL",0.523307970581221,0.00431900607723976
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5",0.525688418306514,0.00457018231719271
"AMISTAD DUAL LANGUAGE SCHOOL",0.526989352430268,0.0024872574005097
"THURGOOD MARSHALL ACADEMY FOR LEARNING & SOCIAL CHANGE",0.526998834955372,0.00340619486375221
"SPRUCE STREET SCHOOL",0.533518996518523,0.00330817486767301
"FREDERICK DOUGLASS ACADEMY",0.53387674292735,0.00784159968633601
"HARLEM LINK CHARTER SCHOOL",0.53982575905965,0.0024014899039404
"HIGH SCHOOL FOR EXCELLENCE AND INNOVATION",0.541431121897109,0.0010659674573613
"LOWER EAST SIDE PREPARATORY HIGH SCHOOL",0.546677373002862,0.00305087237796511
"INWOOD ACADEMY FOR LEADERSHIP CHARTER SCHOOL",0.5498594738008,0.00561164477553421
"PS 9 SARAH ANDERSON",0.554172187397679,0.00364511860419526
"PS 48 PO MICHAEL J BUCZEK",0.55484732772249,0.0027078023916879
"PS 5 ELLEN LURIE",0.555648549331878,0.00318564987257401
"MIDDLE SCHOOL 322",0.56212513839749,0.0023769849049206
"PS 128 AUDUBON",0.562451079601507,0.00319177612232896
"BARUCH COLLEGE CAMPUS HIGH SCHOOL",0.56343304997944,0.0029160948833562
"PS 166 RICHARD ROGERS SCHOOL OF THE ARTS & SCIENCE (THE)",0.567321808440247,0.00390854734365811
"WASHINGTON HEIGHTS ACADEMY",0.572776072624097,0.00330204861791806
"NEW HEIGHTS ACADEMY CHARTER SCHOOL",0.577915911671706,0.00480297980788081
"BATTERY PARK CITY SCHOOL",0.578519543060518,0.00509703979611841
"PS 98 SHORAC KAPPOCK",0.582924157427034,0.0021564399137424
"PS 152 DYCKMAN VALLEY",0.582942371695112,0.00303249362870025
"BILINGUAL BICULTURAL SCHOOL (THE)",0.584620079314687,0.00175823367967065
"WEST END SECONDARY SCHOOL",0.586287889515016,0.00264041364438345
"MANHATTAN ACADEMY FOR ARTS AND LANGUAGES",0.587750028915937,0.00145192119192315
"PS 189",0.593432872565115,0.00409233483630661
"PS 3 CHARRETTE SCHOOL",0.594794504239646,0.00414747108410116
"PS 115 ALEXANDER HUMBOLDT",0.594858632713952,0.0025362673985493
"PECK SLIP SCHOOL (THE)",0.597006381695666,0.0026587923936483
"EQUITY PROJECT CHARTER SCHOOL (THE)",0.597047307907667,0.00517055479317781
"IS 289",0.603172526914862,0.00173372868065085
"EAGLE ACADEMY FOR YOUNG MEN OF HARLEM",0.611291013453675,0.0022912174083513
"NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES",0.617315848639944,0.00288546363458145
"MS 247 DUAL LANGUAGE MIDDLE SCHOOL",0.621193474751759,0.0013722799451088
"PS 76 A PHILLIP RANDOLPH",0.622189421776184,0.0024872574005097
"PS 527 EAST SIDE SCHOOL FOR SOCIAL ACTION",0.635998447347598,0.00262816114487355
"MS 319 MARIE TERESA",0.638007471093864,0.00237085865516565
"JHS 52 INWOOD",0.643695463680864,0.00156219368751225
"MILLENNIUM HIGH SCHOOL",0.65152991483205,0.00418422858263086
"PS 132 JUAN PABLO DUARTE",0.652375057611288,0.00147642619094295
"PS 18 PARK TERRACE",0.6559247776906,0.0021441874142325
"PS 8 LUIS BELLIARD",0.661969730747738,0.0028058223877671
"IS 528 BEA FULLER RODGERS SCHOOL",0.668117937153953,0.0014090374436385
"SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1",0.672870149776384,0.00749240345030386
"MS 260 CLINTON SCHOOL WRITERS & ARTISTS",0.674340508753213,0.00441702607331896
"PS 89",0.691393021853033,0.00257915114683395
"PS 87 WILLIAM SHERMAN",0.707582168475127,0.00537272103509116
"ANDERSON SCHOOL (THE)",0.711092484024478,0.00319177612232896
"PS 199 JESSIE ISADOR STRAUS",0.711473037970392,0.00502965104881396
"PS 40 AUGUSTUS SAINT-GAUDENS",0.713082297504555,0.00412909233483631
"HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS",0.713446323995295,0.00521956479121741
"PS/IS 210 21ST CENTURY ACADEMY FOR COMMUNITY LDERSHIP",0.714493568540041,0.0024382474024701
"EAST SIDE MIDDLE SCHOOL",0.714974848065915,0.0027568123897275
"CAPITAL PREP (CP) HARLEM CHARTER",0.723422637197539,0.00204004116839835
"PS 59 BEEKMAN HILL INTERNATIONAL",0.745556374640106,0.00354709860811606
"MANHATTAN BRIDGES HIGH SCHOOL",0.747905083259086,0.00325916486963341
"MS 255 SALK SCHOOL OF SCIENCE",0.756007837585944,0.00241986865320525
"PS 126 JACOB AUGUST RIIS",0.770176347159691,0.00423323858067046
"ELEANOR ROOSEVELT HIGH SCHOOL",0.774242958701069,0.00323465987061361
"SIXTH AVENUE ELEMENTARY SCHOOL",0.775305027901189,0.00163570868457165
"SISULU-WALKER CHARTER SCHOOL OF HARLEM",0.790401435742758,0.001347774946089
"THURGOOD MARSHALL ACADEMY LOWER SCHOOL",0.791301676497633,0.00129263869829445
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL",0.797226302805193,0.00698392472064301
"PS 150",0.802797849298158,0.0010537149578514
"HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL",0.804689893592034,0.00636517349539306
"FUTURE LEADERS INSTITUTE CHARTER SCHOOL",0.805704168070863,0.0022667124093315
"GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMATICS",0.807484019442725,0.00311213487551461
"HARBOR HEIGHTS",0.807484019442725,0.000735149970594001
"PS 183 ROBERT L STEVENSON",0.809207043016613,0.00317952362281906
"PS 290 MANHATTAN NEW SCHOOL",0.82971851885705,0.00342457361301706
"PS 158 BAYLARD TAYLOR",0.859434815306288,0.00444765732209371
"EAST SIDE ELEMENTRAY SCHOOL-PS 267",0.880161647725673,0.00253014114879435
