"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"CAMBRIA HEIGHTS ACADEMY","QUEENS",371,2,54,271,34,6,4,277,36,63
"CANAL VIEW ELEMENTARY SCHOOL","MONROE",487,0,10,20,46,382,29,174,42,49
"CANARSIE ASCEND CHARTER SCHOOL","KINGS",865,7,2,788,52,7,9,643,8,111
"CAPITAL PREP (CP) HARLEM CHARTER","NEW YORK",333,2,0,250,77,1,3,231,5,79
"CASCADES HIGH SCHOOL","NEW YORK",164,0,5,78,79,2,0,139,3,33
"CASEY MIDDLE SCHOOL","ERIE",629,3,75,40,32,446,33,128,23,63
"CASTLE BRIDGE SCHOOL","NEW YORK",196,0,3,11,139,35,8,130,70,77
"CATHERINE AND COUNT BASIE MIDDLE SCHOOL 72","QUEENS",342,20,24,232,56,8,2,282,22,99
"CAYUGA HEIGHTS ELEMENTARY SCHOOL","ERIE",851,3,14,27,45,723,39,452,14,113
"CAYUGA HEIGHTS ELEMENTARY SCHOOL","ERIE",352,1,21,43,33,221,33,138,8,64
"CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC (THE)","BRONX",423,3,6,113,280,5,16,369,24,100
