"school_name","county","total","n_amind","n_asian","n_black","n_hisp","n_white","n_multi","n_ed","n_ell","n_swd"
"KIPP FREEDOM CHARTER SCHOOL","BRONX",191,1,3,63,123,1,0,181,26,30
"KIPP INFINITY CHARTER SCHOOL","NEW YORK",1099,4,3,294,781,14,3,977,98,260
"KIPP NYC WASHINGTON HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",1050,5,2,110,922,9,2,936,99,214
"KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHARTER SCH","NEW YORK",1001,19,6,482,477,5,12,852,37,272
"KLEM ROAD NORTH ELEMENTARY SCHOOL","MONROE",485,1,30,9,24,406,15,94,43,30
"KLEM ROAD SOUTH ELEMENTARY SCHOOL","MONROE",521,1,20,20,50,403,27,157,25,44
"KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIGH SCHOOL","BRONX",468,3,10,125,312,13,5,412,52,118
"KNOWLEDGE AND POWER PREP ACADEMY V","KINGS",195,4,0,169,20,1,1,176,6,64
"KNOWLEDGE AND POWER PREPARATORY ACADEMY III","BRONX",388,4,8,100,274,1,1,357,39,108
"KNOWLEDGE AND POWER PREPARATORY ACADEMY VI","QUEENS",265,4,4,113,136,8,0,224,16,50
"KURT HAHN EXPEDITIONARY LEARNING SCHOOL","KINGS",297,5,2,265,20,5,0,244,21,81
"LA CIMA CHARTER SCHOOL","KINGS",369,13,5,240,104,5,2,300,30,65
"LACKAWANNA HIGH SCHOOL","ERIE",572,1,10,84,74,392,11,437,83,92
"LACKAWANNA MIDDLE SCHOOL","ERIE",401,4,7,69,63,251,7,332,84,80
"LAFAYETTE INTERNATIONAL SCHOOL","ERIE",287,0,59,79,122,27,0,276,276,46
"LAKE SHORE MIDDLE SCHOOL","ERIE",517,74,1,6,11,409,16,259,0,116
"LAKE SHORE SENIOR HIGH SCHOOL","ERIE",726,91,5,9,15,596,10,359,0,157
"LAKESHORE ELEMENTARY SCHOOL","MONROE",426,0,10,67,85,229,35,296,21,77
"LANCASTER HIGH SCHOOL","ERIE",1838,5,26,27,50,1707,23,382,2,300
"LANCASTER MIDDLE SCHOOL","ERIE",832,1,11,6,35,758,21,174,1,169
"LANDMARK HIGH SCHOOL","NEW YORK",330,4,10,113,195,8,0,271,18,77
"LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL","KINGS",310,3,3,246,49,3,6,275,11,78
"LAURELTON-PARDEE INTERMEDIATE SCHOOL","MONROE",337,0,6,70,77,157,27,204,13,21
"LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL","NEW YORK",470,3,40,124,279,17,7,394,23,92
"LEADERSHIP ACADEMY FOR YOUNG MEN","MONROE",569,1,7,372,140,49,0,529,61,166
"LEADERSHIP PREPARATORY BEDFORD STUYVESANT CHARTER SCHOOL","KINGS",1155,49,10,927,141,15,13,911,39,153
"LEADERSHIP PREPARATORY BROWNSVILLE CHARTER SCHOOL","KINGS",788,6,1,660,111,4,6,706,14,110
"LEADERSHIP PREPARATORY CANARSIE CHARTER SCHOOL","KINGS",794,11,4,728,43,5,3,639,6,106
"LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL","KINGS",1201,35,11,987,148,8,12,968,39,138
"LEARNERS AND LEADERS","QUEENS",564,5,46,13,426,74,0,482,129,150
"LEDGEVIEW ELEMENTARY SCHOOL","ERIE",471,1,16,2,24,411,17,57,0,49
"LEGACY COLLEGE PREPARATORY CHARTER","BRONX",250,1,1,82,161,2,3,230,31,55
"LEO BERNABI SCHOOL","MONROE",438,0,1,15,34,365,23,133,0,73
"LEON M GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES","KINGS",1061,6,303,73,96,576,7,531,5,181
"LEONARDO DA VINCI HIGH SCHOOL","ERIE",379,3,69,119,73,109,6,263,36,41
"LEWIS J BENNETT HS OF INNOVATIVE TEC","ERIE",251,3,23,153,42,27,3,213,30,60
"LEXINGTON ACADEMY (THE)","NEW YORK",603,2,16,98,472,13,2,531,65,172
"LIBERATION DIPLOMA PLUS","KINGS",208,0,5,99,82,22,0,170,12,82
"LIBERTY AVENUE MIDDLE SCHOOL","KINGS",486,12,22,104,339,9,0,466,74,120
"LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","NEW YORK",411,3,38,96,240,34,0,329,355,14
"LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC","KINGS",281,3,33,91,113,40,1,220,25,68
"LIFE SCIENCES SECONDARY SCHOOL","NEW YORK",426,1,31,108,267,16,3,342,44,92
"LIMA ELEMENTARY SCHOOL","MONROE",297,0,1,3,11,271,11,61,0,29
"LINDEN TREE ELEMENTARY SCHOOL","BRONX",366,4,63,55,234,8,2,290,109,101
"LISTWOOD SCHOOL","MONROE",160,0,4,5,5,139,7,27,0,4
"LONG ISLAND CITY HIGH SCHOOL","QUEENS",2268,12,327,229,1537,133,30,1903,253,382
"LONGRIDGE SCHOOL","MONROE",791,1,21,107,186,406,70,567,45,116
"LORRAINE ELEMENTARY SCHOOL","ERIE",708,5,31,224,114,296,38,566,32,223
"LOVEJOY DISCOVERY SCHOOL #43","ERIE",596,0,23,160,95,236,82,532,21,174
"LOWER EAST SIDE PREPARATORY HIGH SCHOOL","NEW YORK",498,1,254,47,188,8,0,380,359,39
"LOWER MANHATTAN ARTS ACADEMY","NEW YORK",292,4,25,83,171,9,0,222,20,108
"LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL","NEW YORK",385,1,166,39,61,104,14,213,23,115
"LUCERO ELEMENTARY SCHOOL","BRONX",416,1,1,32,379,2,1,405,182,93
"LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY","BRONX",345,0,19,18,302,6,0,291,145,75
"LYONS COMMUNITY SCHOOL","KINGS",471,1,4,156,294,14,2,426,49,125
"MADIBA PREP MIDDLE SCHOOL","KINGS",175,0,4,124,42,3,2,160,10,64
"MAGNET SCHOOL OF MATH, SCIENCE & DESIGN TECH","KINGS",946,5,83,78,258,470,52,209,43,210
"MANHATTAN ACADEMY FOR ARTS AND LANGUAGES","NEW YORK",237,0,2,6,224,5,0,230,156,29
"MANHATTAN BRIDGES HIGH SCHOOL","NEW YORK",532,0,1,2,526,1,2,466,246,43
"MANHATTAN BUSINESS ACADEMY","NEW YORK",422,2,26,95,274,20,5,370,27,93
"MANHATTAN CENTER FOR SCIENCE & MATHEMATICS","NEW YORK",1658,16,333,318,884,96,11,1344,114,246
"MANHATTAN CHARTER SCHOOL","NEW YORK",241,2,33,36,165,3,2,206,35,62
"MANHATTAN CHARTER SCHOOL II","NEW YORK",184,2,4,57,113,5,3,162,11,48
"MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","NEW YORK",548,3,129,166,216,30,4,494,313,53
"MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING","NEW YORK",414,6,41,147,189,21,10,304,16,82
"MANHATTAN INTERNATIONAL HIGH SCHOOL","NEW YORK",315,0,47,48,160,60,0,235,223,7
"MANHATTAN VILLAGE ACADEMY","NEW YORK",452,1,38,71,302,39,1,350,9,71
"MANHATTAN/HUNTER SCIENCE HIGH SCHOOL","NEW YORK",441,2,120,72,135,92,20,264,0,62
"MANOR INTERMEDIATE SCHOOL","MONROE",603,0,5,7,16,561,14,137,4,60
"MAPLE EAST ELEMENTARY SCHOOL","ERIE",609,1,106,9,13,446,34,73,26,57
"MAPLE WEST ELEMENTARY SCHOOL","ERIE",629,0,50,29,18,485,47,146,31,85
"MAPLEMERE ELEMENTARY SCHOOL","ERIE",364,1,15,60,17,253,18,193,0,39
"MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES","BRONX",446,7,62,66,290,21,0,401,132,61
"MARIE CURIE HIGH SCH-NURSING, MEDICINE & APPLIED HLTH PROF","BRONX",429,5,12,127,266,16,3,331,54,104
"MARILLA PRIMARY SCHOOL","ERIE",228,0,0,1,2,220,5,45,1,30
"MARK TWAIN IS 239 FOR THE GIFTED AND TALENTED","KINGS",1337,2,358,85,95,684,113,491,18,195
"MARTA VALLE HIGH SCHOOL","NEW YORK",127,1,9,47,66,2,2,113,8,35
"MARTHA BROWN MIDDLE SCHOOL","MONROE",706,0,18,37,35,598,18,154,1,84
"MARTIN LUTHER KING JR #48","ERIE",285,0,31,114,84,37,19,272,95,56
"MARTIN ROAD ELEMENTARY SCHOOL","ERIE",568,1,18,85,101,336,27,491,119,110
"MARTIN VAN BUREN HIGH SCHOOL","QUEENS",1169,46,331,541,202,36,13,881,143,145
"MARVA J DANIEL FUTURES PREPARATORY SCHOOL","ERIE",438,2,34,295,59,32,16,418,82,92
"MARY K VOLLMER ELEMETNARY SCHOOL","MONROE",643,1,87,86,48,384,37,241,40,42
"MARYVALE HIGH SCHOOL","ERIE",677,3,40,88,31,487,28,331,31,79
"MARYVALE INTERMEDIATE SCHOOL","ERIE",462,3,18,53,36,331,21,259,35,77
"MARYVALE MIDDLE SCHOOL","ERIE",490,3,24,48,24,364,27,264,36,76
"MARYVALE PRIMARY SCHOOL","ERIE",515,0,23,46,28,394,24,275,62,54
"MASPETH HIGH SCHOOL","QUEENS",1213,5,211,20,563,335,79,680,37,201
"MATH AND SCIENCE EXPLORATORY SCHOOL (THE)","KINGS",545,2,60,62,111,290,20,149,6,138
"MATH SCIENCE TECHNOLOGY PREPARATORY SCHOOL AT SENECA (THE)","ERIE",730,6,67,517,79,43,18,658,85,180
"MATH, ENGINEERING AND SCIENCE ACADEMY CHARTER HIGH SCHOOL","KINGS",476,0,9,46,384,7,30,395,57,72
"MATH/SCIENCE RESEARCH AND TECHNOLOGY MAGNET HS","QUEENS",383,8,62,265,40,6,2,283,50,40
"MATILDA AVENUE SCHOOL (THE)","BRONX",165,6,7,85,57,8,2,125,8,20
"MAURICE SENDAK COMMUNITY SCHOOL (THE)","KINGS",328,0,31,35,39,194,29,59,6,48
"MCKINLEY VOCATIONAL HIGH SCHOOL","ERIE",1036,13,112,579,194,120,18,863,125,185
"MEDGAR EVERS COLLEGE PREPARATORY SCHOOL","KINGS",1340,35,33,1168,70,12,22,904,6,98
"MENDON CENTER ELEMENTARY SCHOOL","MONROE",785,0,190,12,43,493,47,19,21,74
"MERRICK ACADEMY-QUEENS PUBLIC CHARTER SCHOOL","QUEENS",523,5,4,480,25,1,8,334,9,107
"MERTON WILLIAMS MIDDLE SCHOOL","MONROE",692,1,9,14,43,607,18,200,3,91
"METROPOLITAN DIPLOMA PLUS HIGH SCHOOL","KINGS",183,2,0,149,30,1,1,170,3,71
"METROPOLITAN EXPEDITIONARY LEARNING SCHOOL","QUEENS",833,28,164,139,346,134,22,593,17,157
"METROPOLITAN HIGH SCHOOL (THE)","BRONX",350,2,5,85,250,6,2,328,80,105
"METROPOLITAN LIGHTHOUSE CHARTER SCHOOL","BRONX",606,7,2,205,387,5,0,558,107,69
"METROPOLITAN SOUNDVIEW HIGH SCHOOL (THE)","BRONX",426,2,11,97,308,7,1,389,65,105
"MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE","QUEENS",511,3,41,13,416,37,1,365,7,91
"MIDDLE EARLY COLLEGE HIGH SCHOOL","ERIE",324,3,6,230,42,35,8,247,12,64
"MIDDLE SCHOOL 322","NEW YORK",388,0,3,16,363,5,1,369,158,98
"MIDDLE SCHOOL FOR ART AND PHILOSPHY","KINGS",174,4,2,151,16,1,0,157,12,57
"MIDDLE VILLAGE PREPARATORY CHARTER SCHOOL","QUEENS",402,1,13,9,245,134,0,237,12,55
"MIDWOOD HIGH SCHOOL","KINGS",4161,2,1455,1178,529,889,108,3085,111,517
"MILL MIDDLE SCHOOL","ERIE",849,1,57,40,40,679,32,209,10,125
"MILLENIUM ART ACADEMY","BRONX",425,5,6,115,289,10,0,321,31,113
"MILLENNIUM BROOKLYN HIGH SCHOOL","KINGS",671,3,86,112,133,296,41,244,2,102
"MILLENNIUM HIGH SCHOOL","NEW YORK",683,3,320,26,76,219,39,346,5,86
"MILTON FEIN SCHOOL","BRONX",692,2,44,40,547,57,2,557,140,89
"MINERVA DELAND SCHOOL","MONROE",435,0,11,21,16,383,4,112,10,72
"MONICA B LEARY ELEMENTARY SCHOOL","MONROE",422,2,56,30,23,278,33,111,19,44
"MORRIS ACADEMY FOR COLLABORATIVE STUDIES","BRONX",399,1,7,109,275,7,0,379,66,107
"MOSAIC PREPARATORY ACADEMY","NEW YORK",270,10,4,104,147,3,2,257,28,106
"MOTT HALL BRIDGES ACADEMY","KINGS",200,1,2,165,29,3,0,186,3,64
"MOTT HALL BRONX HIGH SCHOOL","BRONX",376,3,0,100,269,3,1,346,41,88
"MOTT HALL CHARTER SCHOOL","BRONX",269,5,1,104,155,3,1,263,36,42
"MOTT HALL COMMUNITY SCHOOL","BRONX",339,2,9,59,244,25,0,291,36,106
"MOTT HALL HIGH SCHOOL","NEW YORK",287,3,10,101,162,9,2,267,56,89
"MOTT HALL II","NEW YORK",429,5,12,111,213,69,19,279,16,106
"MOTT HALL III","BRONX",355,1,3,114,231,4,2,331,19,62
"MOTT HALL IV","KINGS",173,0,1,151,20,1,0,144,2,58
"MOTT HALL SCHOOL (THE)","NEW YORK",301,3,9,24,243,19,3,234,7,42
"MOTT HALL V","BRONX",665,0,34,114,515,2,0,594,97,205
"MOTT HAVEN ACADEMY CHARTER SCHOOL","BRONX",414,3,1,114,291,2,3,400,57,101
"MOTT HAVEN COMMUNITY HIGH SCHOOL","BRONX",227,1,0,72,143,11,0,196,20,71
"MOTT HAVEN VILLAGE PREP HIGH SCHOOL","BRONX",333,3,4,87,232,3,4,323,69,103
"MOUNT EDEN CHILDREN'S ACADEMY","BRONX",374,2,1,64,300,3,4,354,88,68
"MS 101 EDWARD R BYRNE","BRONX",543,8,84,55,309,85,2,397,7,134
"MS 113 RONALD EDMONDS LEARNING CENTER","KINGS",350,2,21,224,91,6,6,312,19,110
"MS 129 ACADEMY OF INDEPENDENT LEARNING AND LEADERSHIP","BRONX",543,5,17,127,384,10,0,497,73,148
"MS 131","NEW YORK",401,1,319,27,45,7,2,357,100,105
"MS 137 AMERICA'S SCHOOL OF HEROES","QUEENS",1916,21,1082,88,671,50,4,1596,191,320
"MS 158 MARIE CURIE","QUEENS",1078,5,683,45,165,159,21,609,69,141
"MS 180 DR DANIEL HALE WILLIAMS","BRONX",1020,16,32,684,247,30,11,699,33,207
"MS 223 LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY (THE)","BRONX",664,2,6,111,539,5,1,633,53,133
"MS 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS","NEW YORK",186,1,20,56,83,20,6,129,10,53
"MS 243 CENTER SCHOOL","NEW YORK",240,0,15,33,46,131,15,34,0,46
"MS 245 COMPUTER SCHOOL (THE)","NEW YORK",403,5,31,51,116,180,20,120,7,88
"MS 246 WALT WHITMAN","KINGS",409,6,8,292,89,13,1,353,108,96
"MS 247 DUAL LANGUAGE MIDDLE SCHOOL","NEW YORK",224,0,2,3,214,5,0,203,57,67
"MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","NEW YORK",159,5,1,59,79,12,3,114,11,48
"MS 255 SALK SCHOOL OF SCIENCE","NEW YORK",395,1,72,8,38,245,31,58,1,63
"MS 256 ACADEMIC AND ATHLETIC EXCELLENCE","NEW YORK",153,3,1,73,54,20,2,116,19,31
"MS 260 CLINTON SCHOOL WRITERS & ARTISTS","NEW YORK",721,5,92,28,89,459,48,124,2,127
"MS 266 PARK PLACE COMMUNITY MIDDLE SCHOOL","KINGS",157,0,3,112,37,4,1,132,9,54
"MS 267 MATH, SCIENCE & TECHNOLOGY","KINGS",236,6,1,177,48,4,0,204,11,85
"MS 297","NEW YORK",559,1,48,52,129,306,23,162,19,126
"MS 301 PAUL L DUNBAR","BRONX",246,4,0,101,136,5,0,230,65,57
"MS 302 LUISA DESSUS CRUZ","BRONX",473,2,2,98,362,7,2,460,101,139
"MS 319 MARIE TERESA","NEW YORK",387,0,1,12,371,3,0,372,152,107
"MS 324 PATRIA MIRABAL","NEW YORK",339,1,3,38,285,12,0,314,116,103
"MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY","NEW YORK",207,0,6,17,176,8,0,202,103,75
"MS 35 STEPHEN DECATUR","KINGS",220,2,3,183,29,3,0,195,8,69
"MS 358","QUEENS",366,11,87,90,168,8,2,315,61,73
"MS 390","BRONX",536,1,6,69,458,2,0,511,149,142
"MS 394","KINGS",366,2,31,261,68,3,1,317,31,54
"MS 442 CARROLL GARDENS SCHOOL FOR INNOVATION","KINGS",301,1,27,43,89,131,10,102,11,105
"MS 51 WILLIAM ALEXANDER","KINGS",1134,2,202,75,238,562,55,369,26,232
"MS 53 BRIAN PICCOLO","QUEENS",227,5,3,120,94,3,2,201,36,83
"MS 582","KINGS",289,1,3,70,207,5,3,242,37,99
"MS 594","BRONX",190,2,1,55,130,2,0,182,53,54
"MS 61 DR GLADSTONE H ATWELL","KINGS",669,6,16,572,70,4,1,496,30,128
"MS 839","KINGS",343,2,38,47,84,158,14,145,8,101
"MS 907","KINGS",40,0,1,26,12,0,1,35,1,11
"MULLEN ELEMENTARY SCHOOL","ERIE",250,0,3,2,14,221,10,129,1,60
"MULTICULTURAL HIGH SCHOOL","KINGS",264,0,0,4,260,0,0,247,219,3
"MURRAY HILL ACADEMY","NEW YORK",303,5,18,93,161,19,7,265,12,74
"MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","NEW YORK",186,2,7,97,75,3,2,145,10,40
"MUSCOTA","NEW YORK",293,1,12,9,132,121,18,104,18,56
"NATIVE AMERICAN MAGNET","ERIE",406,35,79,171,61,38,22,382,135,90
"NEIGHBORHOOD CHARTER SCHOOL OF HARLEM","NEW YORK",585,3,12,264,288,13,5,475,45,183
"NEIGHBORHOOD SCHOOL","NEW YORK",271,2,18,25,102,113,11,111,4,74
"NEIL ARMSTRONG SCHOOL","MONROE",406,0,15,79,75,200,37,263,30,49
"NELSON MANDELA HIGH SCHOOL","KINGS",253,7,4,210,27,2,3,204,2,82
"NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK","BRONX",651,7,0,254,383,6,1,636,108,210
"NEW AMERICAN ACADEMY CHARTER SCHOOL (THE)","KINGS",365,3,3,338,13,6,2,272,8,60
"NEW BRIDGES ELEMENTARY SCHOOL","KINGS",380,4,6,259,86,19,6,338,38,106
"NEW BUFFALO - CULINARY ART, HOSPITAL","ERIE",361,3,11,182,75,81,9,294,34,113
"NEW DAWN CHARTER HIGH SCHOOL","KINGS",216,5,2,119,83,6,1,189,13,104
"NEW DESIGN HIGH SCHOOL","NEW YORK",425,1,21,144,247,7,5,331,22,117
"NEW DESIGN MIDDLE SCHOOL","NEW YORK",145,1,1,91,48,4,0,139,15,62
"NEW DIRECTIONS SECONDARY SCHOOL","BRONX",215,8,5,52,147,3,0,205,81,66
"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL","NEW YORK",1752,13,583,123,202,708,123,429,28,175
"NEW HEIGHTS ACADEMY CHARTER SCHOOL","NEW YORK",784,0,2,50,729,3,0,740,111,116
"NEW HEIGHTS MIDDLE SCHOOL","KINGS",258,7,1,215,26,6,3,204,20,85
"NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL","BRONX",321,0,3,97,214,6,1,285,98,91
"NEW SCHOOL FOR LEADERSHIP AND JOURNALISM (THE)","BRONX",749,4,26,80,625,12,2,738,173,181
"NEW UTRECHT HIGH SCHOOL","KINGS",3406,10,1398,98,1013,871,16,2763,651,577
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCE MATH AND SCIENCE III","KINGS",397,8,14,316,38,12,9,327,17,56
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE","BRONX",496,4,15,206,254,5,12,390,31,72
"NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH AND SCIENCE II","BRONX",556,13,5,228,294,8,8,477,52,107
"NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES (THE)","BRONX",526,5,9,174,331,4,3,437,35,116
"NEW VISIONS CHARTER HIGH SCHOOL FOR HUMANITIES II","BRONX",486,8,8,181,282,4,3,384,79,103
"NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES III","KINGS",239,1,0,211,23,3,1,180,7,47
"NEW VISIONS CHARTER HS-HUMANITIES IV","QUEENS",190,4,6,114,50,10,6,150,2,36
"NEW VISIONS CHTR HS-ADV MA/SCI IV","QUEENS",471,14,39,336,71,4,7,367,13,79
"NEW VOICES SCHOOL OF ACADEMIC AND CREATIVE ARTS","KINGS",579,1,37,42,170,307,22,168,10,130
"NEW WORLD HIGH SCHOOL","BRONX",385,0,35,48,259,42,1,369,265,27
"NEW YORK CENTER FOR AUTISM CHARTER SCHOOL","NEW YORK",39,1,3,7,15,12,1,36,1,39
"NEW YORK CITY ACADEMY FOR DISCOVERY","QUEENS",360,14,66,21,244,10,5,304,65,82
"NEW YORK CITY MONTESSORI CHARTER SCHOOL","BRONX",281,1,0,85,185,4,6,243,50,75
"NEW YORK FRENCH-AMERICAN CHARTER SCHOOL","NEW YORK",282,1,7,180,59,27,8,200,62,37
"NEWCOMER ACADEMY AT LAFAYETTE","ERIE",260,0,84,127,7,41,1,251,237,2
"NEWCOMERS HIGH SCHOOL","QUEENS",823,13,227,8,527,48,0,728,640,7
"NEWTOWN HIGH SCHOOL","QUEENS",1767,18,451,140,1048,89,21,1376,403,247
"NORTH COLLINS ELEMENTARY SCHOOL","ERIE",288,6,3,0,16,256,7,117,3,38
"NORTH COLLINS JUNIOR-SENIOR HIGH SCHOOL","ERIE",274,2,0,5,14,253,0,112,3,57
"NORTH PARK COMMUNITY SCHOOL #50","ERIE",31,0,0,7,6,15,3,12,2,13
"NORTH QUEENS COMMUNITY HIGH SCHOOL","QUEENS",169,3,21,77,55,13,0,128,8,35
"NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL","MONROE",568,0,4,355,174,34,1,524,64,121
"NORTHSIDE CHARTER HIGH SCHOOL","KINGS",389,1,6,58,298,21,5,303,22,80
"NORTHSIDE SCHOOL","MONROE",545,3,89,8,149,282,14,92,37,65
"NORTHSIDE SCHOOL","MONROE",635,1,10,18,32,547,27,165,0,72
"NORTHWEST COLLEGE PREPARATORY HIGH SCHOOL","MONROE",261,1,3,154,87,16,0,249,31,102
"NORTHWOOD ELEMENTARY SCHOOL","ERIE",850,0,12,25,39,751,23,184,21,63
"NORTHWOOD ELEMENTARY SCHOOL","MONROE",850,0,12,25,39,751,23,184,21,63
"NORTHWOOD ELEMENTARY SCHOOL","ERIE",494,1,35,67,42,323,26,272,32,68
"NORTHWOOD ELEMENTARY SCHOOL","MONROE",494,1,35,67,42,323,26,272,32,68
"NY CENTER FOR AUTISM CS - BRONX","BRONX",20,0,0,8,11,1,0,16,1,20
"NYC CHARTER HS-ARCHITECTURE, ENGINEERING, CONSTRUCTION INDUSTRIES","BRONX",444,2,5,186,250,0,1,415,46,93
"NYC CHARTER SCHOOL OF THE ARTS","NEW YORK",273,2,6,104,118,31,12,125,2,61
"NYC ISCHOOL","NEW YORK",463,5,38,68,104,227,21,159,5,81
"NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES","NEW YORK",471,5,90,17,58,271,30,131,3,96
"NYC LAB MS FOR COLLABORATIVE STUDIES","NEW YORK",563,2,360,7,30,131,33,198,9,83
"NYC MUSEUM SCHOOL","NEW YORK",451,3,113,59,169,101,6,256,4,96
"OCEAN HILL COLLEGIATE CHARTER SCHOOL","KINGS",387,11,4,325,41,1,5,319,11,63
"ODYSSEY ACADEMY","MONROE",1030,0,40,163,191,597,39,661,27,141
"OLYMPIA HIGH SCHOOL","MONROE",1065,1,49,227,173,557,58,747,42,144
"OLYMPUS ACADEMY","KINGS",189,2,2,169,13,3,0,161,3,43
"ONE WORLD MIDDLE SCHOOL AT EDENWALD","BRONX",341,13,13,191,120,4,0,302,22,97
"OPPORTUNITY CHARTER SCHOOL","NEW YORK",485,11,4,230,238,2,0,433,61,299
"ORCHARD PARK HIGH SCHOOL","ERIE",1490,1,31,15,24,1412,7,194,3,182
"ORCHARD PARK MIDDLE SCHOOL","ERIE",1142,1,23,8,29,1058,23,176,9,184
"ORIGINS HIGH SCHOOL","KINGS",408,2,68,138,69,127,4,334,108,55
"OUR WORLD NEIGHBORHOOD CHARTER SCHOOL","QUEENS",734,8,138,41,287,239,21,546,43,89
"OUR WORLD NEIGHBORHOOD CS 2","QUEENS",95,3,4,51,32,5,0,66,6,14
"PACE HIGH SCHOOL","NEW YORK",577,1,27,194,310,22,23,458,16,118
"PADDY HILL ELEMENTARY SCHOOL","MONROE",561,2,24,41,51,407,36,224,25,19
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL","QUEENS",414,2,0,1,410,1,0,358,344,12
"PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE","BRONX",436,1,0,2,433,0,0,432,371,15
"PARK EAST HIGH SCHOOL","NEW YORK",390,2,27,98,242,9,12,317,16,72
"PARK ROAD SCHOOL","MONROE",419,0,16,16,14,340,33,18,0,65
"PARK SLOPE COLLEGIATE","KINGS",703,3,31,238,295,120,16,467,50,158
"PARKDALE ELEMENTARY SCHOOL","ERIE",614,0,2,5,15,580,12,96,1,87
"PARKSIDE PREPARATORY ACADEMY","KINGS",473,10,19,363,68,13,0,426,52,94
"PATHWAYS ACADEMY","ERIE",248,2,10,160,44,26,6,214,29,71
"PATHWAYS COLLEGE PREPARATORY SCHOOL:  A COLLEGE BOARD SCHOOL","QUEENS",579,12,40,486,29,6,6,440,18,85
"PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL","KINGS",573,8,10,473,67,5,10,422,13,117
"PAUL ROAD SCHOOL","MONROE",393,0,9,64,45,233,42,169,1,52
"PAULA HEDBAVNY SCHOOL","NEW YORK",554,0,14,14,425,89,12,377,83,119
"PAVE ACADEMY CHARTER SCHOOL","KINGS",478,1,9,188,271,9,0,429,45,107
"PECK SLIP SCHOOL (THE)","NEW YORK",434,1,67,20,59,238,49,61,7,95
"PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT","BRONX",327,1,28,56,200,42,0,287,48,76
"PELHAM GARDENS MIDDLE SCHOOL","BRONX",474,13,20,256,162,21,2,363,42,115
"PELHAM LAB HIGH SCHOOL","BRONX",458,10,28,100,285,32,3,349,69,110
"PELHAM PREPARATORY ACADEMY","BRONX",514,4,37,131,284,53,5,382,31,129
"PENFIELD SENIOR HIGH SCHOOL","MONROE",1377,2,38,69,66,1152,50,306,7,152
"PENINSULA PREPARATORY ACADEMY CHARTER SCHOOL","QUEENS",315,1,3,216,78,12,5,265,24,40
"PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL","KINGS",389,1,7,232,144,4,1,353,68,87
"PERSISTENCE PREP ACADEMY CHARTER SCH","ERIE",102,0,0,87,7,2,6,87,0,0
"PINE BROOK ELEMENTARY SCHOOL","MONROE",561,1,13,52,50,428,17,205,14,50
"PINEHURST ELEMENTARY SCHOOL","ERIE",638,4,3,4,17,593,17,98,0,75
"PIONEER ACADEMY","QUEENS",901,3,22,7,858,10,1,858,337,211
"PITTSFORD SUTHERLAND HIGH SCHOOL","MONROE",929,0,118,32,58,681,40,51,5,114
"PITTSFORD-MENDON HIGH SCHOOL","MONROE",1036,2,118,33,59,786,38,41,0,91
"PLANK ROAD NORTH ELEMENTARY SCHOOL","MONROE",524,1,17,20,50,422,14,151,19,27
"PLANK ROAD SOUTH ELEMENTARY SCHOOL","MONROE",604,0,23,20,40,498,23,84,19,32
